Counties
Mid Glamorgan
Aberdeenshire
Gwynedd
Gwent
Clwyd
Gwent
Dyfed
Oxfordshire
Lancashire
Lanarkshire
Warwickshire
Suffolk
Cheshire
Hampshire
Derbyshire
Ross-shire
Northumberland
Hampshire
Cumbria
Hampshire
Cheshire
Cumbria
Buckinghamshire
Wiltshire
Carmarthenshire
Hampshire
Fife
Co Antrim
Cumbria
Angus
Ayrshire
Co Armagh
Gwynedd
West Sussex
Berkshire
Derbyshire
Devon
Kent
Middlesex
Northumberland
Surrey
Greater Manchester
Norfolk
Inverness-shire
Devon
Buckinghamshire
Ayrshire


Gwynedd
Hertfordshire
Argyll
Co Antrim
Co Antrim
Co Antrim
Co Antrim
Northumberland
Devon
Co Down
Oxfordshire
Kincardineshire
Aberdeenshire
Co Down
Gwynedd
Surrey
Essex
Gwynedd
Co Durham
Hertfordshire
South Yorkshire
Devon
South Glamorgan
Cumbria
South Humberside
Essex
Hampshire
Avon
West Lothian
East Sussex
Gwynedd
Suffolk
Kent
North Yorkshire
Bedfordshire
Belfast
Kent
Essex
Hertfordshire
Northumberland
Conwy
North Humberside
Worcestershire
East Sussex
Oxfordshire
Devon
Lanarkshire
Bedfordshire
Essex
West Sussex
West Yorkshire
Merseyside
West Midlands
Co Durham
Shropshire
Hertfordshire
Hampshire
Lancashire
Lancashire
Gwynedd
Perthshire
Dorset
Tyne and Wear
Cornwall
West Sussex
Tyne and Wear
Lancashire
Midlothian
Merseyside
Hampshire
Hertfordshire
Lincolnshire
West Lothian
Lincolnshire
Dorset
Northamptonshire
Berkshire
West Yorkshire
Essex
Cumbria
Devon
Powys
Middlesex
Essex
Mid Glamorgan
Shropshire
Somerset
North Humberside
Dorset
Lincolnshire
West Yorkshire
East Sussex
Avon
Devon
Isle of Skye
Kent
Hereford and Worcester
Hampshire
Isle of Arran
Kent
Hereford and Worcester
Norfolk
West Lothian
Devon
Essex
Banffshire
Buckinghamshire
Cornwall
Devon
Powys
Isle of Mull
Suffolk
West Sussex
Somerset
Lancashire
Staffordshire
Lancashire
Suffolk
Co Antrim
Derbyshire


Gwynedd
Mid Glamorgan
Wiltshire
Surrey
Cambridgeshire
Cornwall
Argyll
Staffordshire
Kent
South Glamorgan
Dyfed
Cumbria
Isle of Lewis
Lanarkshire
Dyfed
Lancashire
Co Antrim
Surrey
Kirkcudbrightshire
Co Tyrone
